Nike,yeezy,shopify,foosites,retail,media,google,others
nike.com,yeezysupply.com,43einhalb.com,footaction.com,amazon.com,instagram.com,google.com,converse.com
,,99store.mx,footlocker.ca,bestbuy.com,twitter.com,,finishline.com
,,angelobaque.com,footlocker.co.uk,fanatics.com,tiktok.com,,footdistrict.com
,,afew-store.com,footlocker.com,gamestop.com,facebook.com,,footpatrol.com
,,aimeleondore.com,footlocker.com.au,gamestop.de,youtube.com,,footpatrol.fr
,,alifenewyork.com,footlocker.eu,gamestop.at,snapchat.com,,jdsports.co.uk
,,alltheright.com,footlocker.hk,gamestop.it,,,jdsports.com
,,a-ma-maniere.com,footlocker.my,gamestop.ch,,,jdsports.de
,,amongstfew.com,kidsfootlocker.com,micromania.fr,,,jdsports.fr
,,apbstore.com,footlocker.sg,gamestop.ie,,,offspring.co.uk
,,asphaltgold.com,eastbay.com,gamestop.ca,,,size.com
,,atmosusa.com,champssports.com,newegg.com,,,size.it
,,baitme.jp,champssports.ca,paniniamerica.net,,,size.de
,,bape.com,,target.com,,,size.fr
,,basket4ballers.com,,smythstoys.com,,,zalando.fr
,,bbbranded.com,,evga.com,,,zalando.de
,,bbcicecream.com,,walmart.com,,,zalando.co.uk
,,bdgastore.com,,otto.de,,,zalando.nl
,,billieeilish.com,,nvidia.com,,,zalando.it
,,blacksheepskateshop.com,,amd.com,,,zalando.cz
,,bkm-popup.myshopify.com,,playstation.com,,,zalando.ie
,,brickseek.com,,lego.com,,,adidas.ie
,,bstn.com,,nintendo.com,,,zalando.pl
,,burnrubbersneakers.com,,apple.com,,,zalando.pt
,,cactusplantfleamarket.com,,microsoft.com,,,zalando.at
,,calif.cc,,,,,adidas.cz
,,capsuletoronto.com,,,,,adidas.dk
,,cdgcdgcdg.com,,,,,adidas.at
,,cncpts.com,,,,,adidas.pl
,,culturekings.com.au,,,,,adidas.pt
,,ddtstore.com,,,,,adidas.ru
,,denimtears.com,,,,,adidas.com
,,deadstock.ca,,,,,adidas.es
,,dickssportinggoods.com,,,,,adidas.co.uk
,,dope-factory.com,,,,,adidas.be
,,doverstreetmarket.com,,,,,adidas.fr
,,drakerelated.com,,,,,adidas.nl
,,dtlr.com,,,,,adidas.de
,,endclothing.com,,,,,adidas.it
,,ericemanuel.com,,,,,funko.com
,,familiaskateshop.com,,,,,shopdisney.com
,,fearofgod.com,,,,,catalog.usmint.gov
,,fenom.com,,,,,youtube.com
,,finalmouse.com,,,,,pokemoncenter.com
,,gbny.com,,,,,hermes.com
,,goldenarchesunlimited.com,,,,,coach.com
,,havenshop.com,,,,,louisvuitton.com
,,hibbett.com,,,,,chanel.com
,,humanmade.jp,,,,,dior.com
